Crop,Symptoms,Disease,Severity
Maize,Rusty orange pustules,Common Rust,Low
Wheat,Rusty orange pustules,Leaf Rust,Critical
Banana,"Premature fruit drop, Brown spots on leaves, Black lesions",Black Sigatoka,High
Mango,"Fruit discoloration, White powder on leaves",Powdery Mildew,Critical
Maize,Rusty orange pustules,Common Rust,High
Potato,"Black lesions, Wilting stems, Water-soaked patches",Late Blight,Low
Cotton,Wilting stems,Wilt,Medium
Groundnut,"Yellow leaves, Premature fruit drop, Brown spots on leaves, Stunted growth",Leaf Spot,Critical
Potato,"Yellow leaves, Brown spots on leaves",Early Blight,Medium
Groundnut,"Brown spots on leaves, Premature fruit drop",Leaf Spot,Low
Potato,Yellow leaves,Early Blight,Critical
Banana,Premature fruit drop,Black Sigatoka,Critical
Rice,Wilting stems,Bacterial Blight,High
Soybean,"Rusty orange pustules, Fruit discoloration",Rust,High
Rice,"Yellow leaves, Leaf curl",Brown Spot,High
Mango,"Fruit discoloration, White powder on leaves",Powdery Mildew,Low
Groundnut,"Rusty orange pustules, Premature fruit drop",Rust,Medium
Sugarcane,"Brown spots on leaves, Rusty orange pustules, Black lesions",Rust,Low
Mango,"Fruit discoloration, White powder on leaves, Stunted growth",Powdery Mildew,Low
Maize,"Rusty orange pustules, Brown spots on leaves",Common Rust,Medium
Sugarcane,Rusty orange pustules,Rust,Medium
Rice,"Wilting stems, Water-soaked patches, Yellow leaves",Bacterial Blight,Medium
Banana,Black lesions,Black Sigatoka,High
Mango,"Fruit discoloration, White powder on leaves",Powdery Mildew,High
Soybean,"Premature fruit drop, Yellow leaves, Rusty orange pustules",Rust,Low
Sugarcane,"Brown spots on leaves, Rusty orange pustules",Rust,Critical
Rice,"Stunted growth, Black lesions",Blast,Medium
Tomato,"Brown spots on leaves, Premature fruit drop",Early Blight,High
Sugarcane,"Brown spots on leaves, Rusty orange pustules, White powder on leaves",Rust,Critical
Banana,"Yellow leaves, Wilting stems",Panama Disease,Critical
Maize,"Black lesions, Wilting stems",Leaf Blight,Low
Potato,"Black lesions, Wilting stems",Late Blight,Critical
Sugarcane,"Wilting stems, Stunted growth",Red Rot,High
Mango,"White powder on leaves, Yellow leaves",Powdery Mildew,Medium
Soybean,"Root rot, Stunted growth",Root Rot,Low
Groundnut,Brown spots on leaves,Leaf Spot,High
Banana,"Premature fruit drop, Black lesions, Brown spots on leaves",Black Sigatoka,High
Cotton,"Premature fruit drop, Yellow leaves",Bacterial Blight,Low
Tomato,"Yellow leaves, Brown spots on leaves",Early Blight,High
Mango,"Fruit discoloration, Black lesions, Premature fruit drop",Anthracnose,High
Maize,"Rusty orange pustules, Brown spots on leaves, Root rot",Common Rust,Medium
Grapes,"White powder on leaves, Premature fruit drop",Downy Mildew,Critical
Sugarcane,"Stunted growth, Yellow leaves",Red Rot,Critical
Maize,"Rusty orange pustules, Brown spots on leaves",Common Rust,Medium
Wheat,Rusty orange pustules,Leaf Rust,High
Cotton,"Wilting stems, Yellow leaves, Stunted growth",Wilt,High
Grapes,"Stunted growth, White powder on leaves",Powdery Mildew,Critical
Tomato,"Water-soaked patches, Black lesions",Late Blight,Critical
Maize,"Yellow leaves, Wilting stems",Leaf Blight,High
Groundnut,"Premature fruit drop, Yellow leaves",Leaf Spot,Medium
Rice,"Yellow leaves, Brown spots on leaves",Brown Spot,High
Maize,Rusty orange pustules,Common Rust,Critical
Potato,"Water-soaked patches, Black lesions, Wilting stems",Late Blight,High
Grapes,"White powder on leaves, Premature fruit drop, Yellow leaves, Rusty orange pustules",Downy Mildew,Medium
Tomato,"Premature fruit drop, Yellow leaves",Early Blight,Medium
Sugarcane,"Stunted growth, Yellow leaves",Red Rot,Critical
Rice,"Water-soaked patches, Wilting stems",Bacterial Blight,Low
Groundnut,"Rusty orange pustules, Premature fruit drop",Rust,Medium
Groundnut,"Rusty orange pustules, Premature fruit drop",Rust,High
Sugarcane,"Rusty orange pustules, Leaf curl",Rust,Medium
Sugarcane,"Wilting stems, Stunted growth",Red Rot,High
Soybean,Stunted growth,Root Rot,High
Mango,"Premature fruit drop, Black lesions",Anthracnose,High
Wheat,"Yellow leaves, White powder on leaves",Powdery Mildew,Medium
Rice,"Black lesions, Stunted growth",Blast,Critical
Rice,Yellow leaves,Brown Spot,High
Banana,"Black lesions, Brown spots on leaves",Black Sigatoka,Medium
Cotton,"Black lesions, Water-soaked patches, Wilting stems",Bacterial Blight,Low
Rice,Yellow leaves,Brown Spot,Low
Groundnut,Premature fruit drop,Rust,Critical
Banana,Brown spots on leaves,Black Sigatoka,High
Maize,Yellow leaves,Leaf Blight,Low
Mango,"Black lesions, Wilting stems",Anthracnose,Medium
Groundnut,Premature fruit drop,Rust,Critical
Wheat,"Root rot, Yellow leaves",Root Rot,Critical
Mango,"Black lesions, Fruit discoloration, Premature fruit drop",Anthracnose,High
Tomato,Yellow leaves,Early Blight,High
Rice,"Brown spots on leaves, Stunted growth",Blast,Low
Cotton,Wilting stems,Wilt,Low
Mango,"Fruit discoloration, Premature fruit drop, Yellow leaves",Anthracnose,High
Tomato,"Black lesions, Fruit discoloration, Water-soaked patches",Late Blight,Low
Potato,Stunted growth,Black Scurf,Medium
Potato,"Brown spots on leaves, Yellow leaves, Root rot",Early Blight,High
Sugarcane,Yellow leaves,Red Rot,Low
Maize,"Rusty orange pustules, Brown spots on leaves",Common Rust,High
Cotton,Premature fruit drop,Bacterial Blight,Low
Tomato,"Yellow leaves, Brown spots on leaves",Early Blight,High
Soybean,Wilting stems,Root Rot,Low
Potato,Yellow leaves,Early Blight,Low
Maize,"Rusty orange pustules, Leaf curl",Common Rust,Low
Groundnut,"Rusty orange pustules, Premature fruit drop",Rust,Medium
Wheat,Rusty orange pustules,Leaf Rust,Low
Banana,"Yellow leaves, Root rot",Panama Disease,Medium
Sugarcane,"Stunted growth, Yellow leaves, Wilting stems",Red Rot,Medium
Rice,Yellow leaves,Bacterial Blight,Medium
Soybean,"Root rot, Wilting stems",Root Rot,Critical
Mango,"White powder on leaves, Fruit discoloration",Powdery Mildew,High
Banana,Black lesions,Black Sigatoka,Medium
Grapes,"Yellow leaves, Premature fruit drop, White powder on leaves",Downy Mildew,Medium
Maize,Rusty orange pustules,Common Rust,Low
Banana,Black lesions,Black Sigatoka,Low
Mango,"Black lesions, Premature fruit drop, Fruit discoloration",Anthracnose,High
Tomato,Water-soaked patches,Late Blight,Low
Cotton,"Yellow leaves, Stunted growth",Wilt,Medium
Banana,Wilting stems,Panama Disease,Medium
Groundnut,"Premature fruit drop, Rusty orange pustules",Rust,Critical
Groundnut,Brown spots on leaves,Leaf Spot,High
Tomato,"Black lesions, Stunted growth",Late Blight,Medium
Sugarcane,"Stunted growth, Wilting stems",Red Rot,High
Potato,Stunted growth,Black Scurf,High
Groundnut,"Rusty orange pustules, Premature fruit drop",Rust,Medium
Rice,"Yellow leaves, Brown spots on leaves",Brown Spot,Medium
Wheat,"Yellow leaves, Rusty orange pustules",Leaf Rust,High
Grapes,Yellow leaves,Downy Mildew,Low
Tomato,"Water-soaked patches, Fruit discoloration",Late Blight,Low
Maize,"Brown spots on leaves, Rusty orange pustules, Black lesions",Common Rust,Medium
Wheat,"Yellow leaves, Stunted growth",Root Rot,High
Mango,"Fruit discoloration, Premature fruit drop, Black lesions",Anthracnose,Medium
Tomato,Black lesions,Late Blight,Medium
Soybean,"Root rot, Wilting stems",Root Rot,Low
Grapes,Stunted growth,Powdery Mildew,Medium
Sugarcane,Yellow leaves,Red Rot,Low
Wheat,"Stunted growth, Root rot, Yellow leaves",Root Rot,Medium
Cotton,"Black lesions, Water-soaked patches",Bacterial Blight,Critical
Wheat,"Rusty orange pustules, Yellow leaves",Leaf Rust,Medium
Mango,Fruit discoloration,Anthracnose,Medium
Rice,"Wilting stems, Water-soaked patches, Yellow leaves",Bacterial Blight,Critical
Tomato,"Water-soaked patches, Fruit discoloration",Late Blight,Medium
Mango,Fruit discoloration,Powdery Mildew,High
Groundnut,"Premature fruit drop, Rusty orange pustules",Leaf Spot,Low
Banana,Black lesions,Black Sigatoka,Medium
Grapes,"White powder on leaves, Stunted growth, Fruit discoloration",Powdery Mildew,High
Groundnut,"Yellow leaves, Brown spots on leaves, Premature fruit drop, Stunted growth",Leaf Spot,High
Banana,"Brown spots on leaves, Black lesions, Premature fruit drop",Black Sigatoka,Medium
Groundnut,Rusty orange pustules,Rust,Medium
Banana,Black lesions,Black Sigatoka,Medium
Wheat,"White powder on leaves, Yellow leaves",Powdery Mildew,Medium
Potato,"Stunted growth, Black lesions",Black Scurf,Medium
Groundnut,Premature fruit drop,Rust,High
Mango,"Black lesions, Premature fruit drop, Fruit discoloration",Anthracnose,Critical
Wheat,"Yellow leaves, Brown spots on leaves",Root Rot,Medium
Grapes,"Fruit discoloration, Stunted growth, White powder on leaves, Wilting stems",Powdery Mildew,Medium
Maize,Rusty orange pustules,Common Rust,Low
Cotton,"Black lesions, Premature fruit drop",Bacterial Blight,Medium
Rice,"Water-soaked patches, Yellow leaves",Bacterial Blight,Medium
Grapes,"White powder on leaves, Fruit discoloration, Stunted growth",Powdery Mildew,Low
Grapes,"Yellow leaves, White powder on leaves",Downy Mildew,High
Rice,Brown spots on leaves,Brown Spot,Low
Grapes,Fruit discoloration,Powdery Mildew,Low
Wheat,Stunted growth,Root Rot,Low
Groundnut,Rusty orange pustules,Rust,High
Cotton,"Wilting stems, Yellow leaves, Stunted growth",Wilt,Low
Soybean,"Premature fruit drop, Yellow leaves, Rusty orange pustules",Rust,Low
Maize,"Rusty orange pustules, Brown spots on leaves",Common Rust,Low
Soybean,"Root rot, Stunted growth",Root Rot,Low
Banana,Brown spots on leaves,Black Sigatoka,High
Wheat,"Rusty orange pustules, Yellow leaves",Leaf Rust,Low
Tomato,Black lesions,Late Blight,High
Cotton,"Black lesions, Water-soaked patches",Bacterial Blight,Critical
Grapes,"Stunted growth, White powder on leaves, Fruit discoloration, Black lesions",Powdery Mildew,Medium
Sugarcane,"Rusty orange pustules, Brown spots on leaves, Yellow leaves",Rust,High
Rice,"Yellow leaves, Brown spots on leaves",Brown Spot,Low
Potato,"Black lesions, Stunted growth",Black Scurf,Medium
Soybean,"Premature fruit drop, Rusty orange pustules",Rust,Low
Sugarcane,Rusty orange pustules,Rust,Medium
Grapes,"Premature fruit drop, White powder on leaves, Yellow leaves",Downy Mildew,High
Sugarcane,Rusty orange pustules,Rust,Critical
Grapes,"Stunted growth, Fruit discoloration",Powdery Mildew,High
Potato,"Water-soaked patches, Black lesions",Late Blight,Critical
Maize,"Wilting stems, Black lesions",Leaf Blight,Medium
Grapes,"Premature fruit drop, Yellow leaves",Downy Mildew,Low
Banana,"Wilting stems, Root rot",Panama Disease,High
Potato,Black lesions,Black Scurf,High
Tomato,"Yellow leaves, Leaf curl, Stunted growth",Leaf Curl,Medium
Groundnut,"Premature fruit drop, Yellow leaves, Brown spots on leaves",Leaf Spot,Low
Potato,Water-soaked patches,Late Blight,High
Tomato,"Yellow leaves, Stunted growth",Leaf Curl,Low
Sugarcane,"Wilting stems, Water-soaked patches",Red Rot,Critical
Soybean,"Root rot, Stunted growth, Wilting stems",Root Rot,Low
Banana,"Yellow leaves, Root rot",Panama Disease,High
Tomato,"Brown spots on leaves, Premature fruit drop",Early Blight,Critical
Cotton,Yellow leaves,Wilt,Critical
Soybean,Rusty orange pustules,Rust,Low
Rice,Stunted growth,Blast,Low
Soybean,"Premature fruit drop, Rusty orange pustules, Yellow leaves",Rust,High
Groundnut,"Premature fruit drop, Rusty orange pustules",Rust,Critical
Rice,"Black lesions, Stunted growth, Brown spots on leaves",Blast,High
Maize,Brown spots on leaves,Common Rust,Low
Soybean,Stunted growth,Root Rot,Medium
Sugarcane,"Rusty orange pustules, Brown spots on leaves",Rust,Critical
Tomato,"Brown spots on leaves, Premature fruit drop, Yellow leaves, Water-soaked patches",Early Blight,High
Cotton,"Wilting stems, Stunted growth",Wilt,Low
Grapes,Premature fruit drop,Downy Mildew,Low
Cotton,"Water-soaked patches, Black lesions",Bacterial Blight,Critical
Sugarcane,"Stunted growth, Wilting stems, Yellow leaves",Red Rot,Critical
Rice,Brown spots on leaves,Brown Spot,Medium
Cotton,"Stunted growth, Wilting stems",Wilt,Low
Sugarcane,"Yellow leaves, Wilting stems, Stunted growth",Red Rot,Medium
Wheat,Yellow leaves,Powdery Mildew,High
Rice,"Yellow leaves, Water-soaked patches, Wilting stems",Bacterial Blight,Critical
Banana,"Premature fruit drop, Black lesions",Black Sigatoka,High
Potato,Black lesions,Black Scurf,Low
Soybean,Wilting stems,Root Rot,Critical
Banana,"Yellow leaves, Root rot",Panama Disease,High
Mango,Black lesions,Anthracnose,Critical
Grapes,"White powder on leaves, Fruit discoloration, Stunted growth",Powdery Mildew,High
Mango,Premature fruit drop,Anthracnose,High
Mango,"Premature fruit drop, Fruit discoloration",Anthracnose,Critical
Banana,"Premature fruit drop, Brown spots on leaves, Black lesions",Black Sigatoka,High
Maize,"Wilting stems, Black lesions, Yellow leaves",Leaf Blight,Low
Potato,"Black lesions, Water-soaked patches, Wilting stems",Late Blight,Low
Maize,"Rusty orange pustules, Brown spots on leaves",Common Rust,Low
Sugarcane,"Yellow leaves, Wilting stems, Stunted growth",Red Rot,Critical
Sugarcane,"Yellow leaves, Wilting stems, Stunted growth",Red Rot,Medium
Soybean,"Premature fruit drop, Yellow leaves",Rust,Medium
Banana,"Yellow leaves, Wilting stems",Panama Disease,Low
Maize,"Black lesions, Yellow leaves",Leaf Blight,High
Soybean,"Premature fruit drop, Yellow leaves, Water-soaked patches",Rust,Critical
Mango,"Fruit discoloration, White powder on leaves",Powdery Mildew,Medium
Rice,"Stunted growth, Black lesions",Blast,Medium
Tomato,"Yellow leaves, Stunted growth",Leaf Curl,Low
Potato,"Black lesions, Water-soaked patches",Late Blight,High
Soybean,"Root rot, Stunted growth, Wilting stems",Root Rot,Medium
Rice,"Yellow leaves, Brown spots on leaves, Wilting stems",Brown Spot,Low
Sugarcane,Wilting stems,Red Rot,High
Rice,Yellow leaves,Brown Spot,High
Wheat,"Yellow leaves, Leaf curl",Leaf Rust,Medium
Banana,"Wilting stems, Root rot, Yellow leaves, Fruit discoloration",Panama Disease,Medium
Banana,"Black lesions, Brown spots on leaves",Black Sigatoka,High
Sugarcane,Stunted growth,Red Rot,Medium
Grapes,"Premature fruit drop, Yellow leaves",Downy Mildew,High
Rice,Brown spots on leaves,Blast,Critical
Sugarcane,Stunted growth,Red Rot,Low
Potato,"Wilting stems, Black lesions, Stunted growth",Late Blight,Medium
Tomato,Water-soaked patches,Late Blight,High
Cotton,Black lesions,Bacterial Blight,Critical
Wheat,"Yellow leaves, White powder on leaves",Leaf Rust,Low
Wheat,Root rot,Root Rot,Medium
Sugarcane,"Stunted growth, Yellow leaves, Wilting stems",Red Rot,High
Sugarcane,Wilting stems,Red Rot,High
Potato,Brown spots on leaves,Early Blight,High
Rice,"Yellow leaves, Brown spots on leaves",Brown Spot,Low
Sugarcane,"Rusty orange pustules, Brown spots on leaves",Rust,High
Wheat,"Rusty orange pustules, Yellow leaves",Leaf Rust,Critical
Banana,"Yellow leaves, White powder on leaves",Panama Disease,Low
Groundnut,Premature fruit drop,Leaf Spot,Critical
Maize,"Wilting stems, Yellow leaves, Black lesions",Leaf Blight,Medium
Soybean,Premature fruit drop,Rust,High
Sugarcane,"Wilting stems, Yellow leaves",Red Rot,Low
Groundnut,"Rusty orange pustules, Premature fruit drop",Rust,Low
Sugarcane,Brown spots on leaves,Rust,Medium
Rice,Wilting stems,Bacterial Blight,Low
Banana,Yellow leaves,Panama Disease,High
Banana,Wilting stems,Panama Disease,High
Rice,"Wilting stems, Water-soaked patches, Yellow leaves",Bacterial Blight,Medium
Grapes,"Stunted growth, White powder on leaves, Fruit discoloration",Powdery Mildew,Medium
Cotton,"Stunted growth, Wilting stems",Wilt,High
Tomato,"Fruit discoloration, Black lesions, Water-soaked patches",Late Blight,Medium
Rice,Yellow leaves,Bacterial Blight,Medium
Banana,"Premature fruit drop, Brown spots on leaves, Black lesions",Black Sigatoka,High
Mango,White powder on leaves,Powdery Mildew,Critical
Banana,Premature fruit drop,Black Sigatoka,Low
Cotton,Premature fruit drop,Bacterial Blight,Critical
Groundnut,"Premature fruit drop, Brown spots on leaves, Yellow leaves",Leaf Spot,Critical
Potato,Brown spots on leaves,Early Blight,Critical
Groundnut,"Rusty orange pustules, Premature fruit drop",Rust,Medium
Maize,"Yellow leaves, Black lesions, Wilting stems",Leaf Blight,Low
Banana,"Premature fruit drop, Black lesions, Brown spots on leaves",Black Sigatoka,Medium
Cotton,"Black lesions, Water-soaked patches, Premature fruit drop",Bacterial Blight,Critical
Sugarcane,"Rusty orange pustules, Brown spots on leaves",Rust,Medium
Potato,Stunted growth,Black Scurf,High
Potato,"Black lesions, Wilting stems, Water-soaked patches",Late Blight,High
Mango,White powder on leaves,Powdery Mildew,Medium
Banana,"Black lesions, Premature fruit drop",Black Sigatoka,Low
Cotton,"Yellow leaves, Rusty orange pustules",Wilt,High
Maize,"Wilting stems, Black lesions, Yellow leaves",Leaf Blight,Medium
Sugarcane,"Wilting stems, Yellow leaves, Stunted growth, Rusty orange pustules",Red Rot,Low
Soybean,"Wilting stems, Root rot",Root Rot,Critical
Soybean,"Stunted growth, Wilting stems, Leaf curl",Root Rot,Critical
Banana,"Black lesions, Premature fruit drop",Black Sigatoka,Low
Banana,Wilting stems,Panama Disease,Medium
Rice,"Brown spots on leaves, Yellow leaves",Brown Spot,Low
Cotton,"Black lesions, Water-soaked patches",Bacterial Blight,Critical
Wheat,"Rusty orange pustules, Yellow leaves",Leaf Rust,Medium
Cotton,"Black lesions, Water-soaked patches",Bacterial Blight,Critical
Groundnut,Rusty orange pustules,Rust,High
Maize,"Rusty orange pustules, Brown spots on leaves",Common Rust,Medium
Groundnut,Premature fruit drop,Rust,Medium
Groundnut,"Yellow leaves, Brown spots on leaves",Leaf Spot,High
Sugarcane,Yellow leaves,Red Rot,Critical
Sugarcane,"Stunted growth, Yellow leaves",Red Rot,Critical
Soybean,"Wilting stems, Root rot, Leaf curl",Root Rot,High
Grapes,"Premature fruit drop, White powder on leaves, Yellow leaves",Downy Mildew,High
Grapes,"Premature fruit drop, Water-soaked patches",Downy Mildew,Low
Wheat,"Stunted growth, Root rot, Yellow leaves",Root Rot,Low
Rice,"Yellow leaves, Brown spots on leaves",Brown Spot,Medium
Wheat,White powder on leaves,Powdery Mildew,High
Wheat,Yellow leaves,Powdery Mildew,Low
Soybean,"Premature fruit drop, Yellow leaves, Rusty orange pustules",Rust,High
Potato,"Yellow leaves, Brown spots on leaves, Stunted growth",Early Blight,Critical
Groundnut,"Premature fruit drop, Rusty orange pustules",Rust,Medium
Cotton,"Black lesions, Water-soaked patches",Bacterial Blight,Low
Soybean,Premature fruit drop,Rust,Low
Grapes,"White powder on leaves, Water-soaked patches",Powdery Mildew,Medium
Banana,"Wilting stems, Yellow leaves, Root rot",Panama Disease,Low
Wheat,Stunted growth,Root Rot,Medium
Tomato,"Stunted growth, Yellow leaves, Leaf curl",Leaf Curl,Critical
Sugarcane,"Yellow leaves, Wilting stems, Stunted growth",Red Rot,Critical
Groundnut,"Premature fruit drop, Rusty orange pustules",Rust,Critical
Maize,"Rusty orange pustules, Brown spots on leaves",Common Rust,Critical
Sugarcane,"Wilting stems, Yellow leaves, Stunted growth",Red Rot,Medium
Grapes,Premature fruit drop,Downy Mildew,Low
Groundnut,Yellow leaves,Leaf Spot,Medium
Mango,Fruit discoloration,Anthracnose,Medium
Mango,"Fruit discoloration, Black lesions, Premature fruit drop",Anthracnose,High
Banana,"Wilting stems, Yellow leaves, Root rot",Panama Disease,Medium
Cotton,"Wilting stems, Stunted growth, Yellow leaves",Wilt,High
Potato,Yellow leaves,Early Blight,Critical
Grapes,Yellow leaves,Downy Mildew,High
Tomato,"Yellow leaves, Premature fruit drop, Brown spots on leaves",Early Blight,Critical
Mango,Fruit discoloration,Anthracnose,Critical
Rice,"Yellow leaves, Brown spots on leaves",Brown Spot,High
Tomato,"Stunted growth, Yellow leaves, Leaf curl",Leaf Curl,High
Maize,"Rusty orange pustules, Water-soaked patches",Common Rust,Low
Maize,"Yellow leaves, Black lesions",Leaf Blight,Medium
Rice,"Yellow leaves, Brown spots on leaves",Brown Spot,Critical
Cotton,"Premature fruit drop, Black lesions, Water-soaked patches",Bacterial Blight,Critical
Rice,Brown spots on leaves,Brown Spot,High
Tomato,"Water-soaked patches, Black lesions, Fruit discoloration",Late Blight,High
Maize,Rusty orange pustules,Common Rust,Medium
Grapes,"Yellow leaves, Premature fruit drop, White powder on leaves",Downy Mildew,High
Banana,Root rot,Panama Disease,Low
Mango,"White powder on leaves, Fruit discoloration",Powdery Mildew,Critical
Wheat,Root rot,Root Rot,Medium
Grapes,White powder on leaves,Powdery Mildew,Critical
Sugarcane,"Rusty orange pustules, Water-soaked patches",Rust,Low
Wheat,"Yellow leaves, White powder on leaves, Black lesions",Powdery Mildew,Low
Wheat,"Root rot, Stunted growth, Yellow leaves",Root Rot,Critical
Tomato,"Premature fruit drop, Brown spots on leaves, Yellow leaves",Early Blight,Medium
Sugarcane,"Rusty orange pustules, Brown spots on leaves",Rust,Critical
Banana,"Black lesions, Premature fruit drop, Brown spots on leaves",Black Sigatoka,Low
Potato,"Wilting stems, Black lesions, Water-soaked patches",Late Blight,Low
Mango,White powder on leaves,Powdery Mildew,Critical
Maize,Brown spots on leaves,Common Rust,High
Grapes,Premature fruit drop,Downy Mildew,Low
Tomato,"Yellow leaves, Stunted growth, Leaf curl",Leaf Curl,Critical
Rice,"Yellow leaves, Stunted growth",Brown Spot,Medium
Sugarcane,"Brown spots on leaves, Rusty orange pustules",Rust,Medium
Tomato,"Brown spots on leaves, Premature fruit drop, Fruit discoloration",Early Blight,Low
Sugarcane,"Stunted growth, Wilting stems",Red Rot,Critical
Potato,Wilting stems,Late Blight,Critical
Grapes,"Fruit discoloration, White powder on leaves",Powdery Mildew,Medium
Maize,"Yellow leaves, Black lesions, Wilting stems",Leaf Blight,Medium
Banana,Root rot,Panama Disease,High
Rice,"Brown spots on leaves, Root rot",Brown Spot,Critical
Groundnut,"Premature fruit drop, Rusty orange pustules",Rust,High
Groundnut,"Premature fruit drop, Rusty orange pustules",Rust,Medium
Potato,Brown spots on leaves,Early Blight,High
Groundnut,"Rusty orange pustules, Yellow leaves",Rust,Low
Soybean,"Rusty orange pustules, Root rot",Rust,Medium
Wheat,"Yellow leaves, Rusty orange pustules",Leaf Rust,Critical
Soybean,"Rusty orange pustules, Premature fruit drop, Yellow leaves",Rust,Medium
Mango,"Black lesions, Fruit discoloration, Premature fruit drop",Anthracnose,Medium
Soybean,"Yellow leaves, Rusty orange pustules",Rust,Critical
Grapes,"White powder on leaves, Stunted growth",Powdery Mildew,High
Cotton,"Yellow leaves, Wilting stems",Wilt,Medium
Wheat,"Root rot, Leaf curl",Root Rot,Medium
Cotton,"Yellow leaves, Stunted growth",Wilt,Critical
Rice,Brown spots on leaves,Brown Spot,Medium
Mango,Fruit discoloration,Powdery Mildew,Critical
Sugarcane,Rusty orange pustules,Rust,Low
Soybean,Premature fruit drop,Rust,Low
Rice,"Yellow leaves, Brown spots on leaves",Brown Spot,High
Cotton,"Water-soaked patches, Premature fruit drop",Bacterial Blight,Critical
Banana,"Brown spots on leaves, Rusty orange pustules",Black Sigatoka,High
Mango,"Premature fruit drop, Black lesions, Fruit discoloration",Anthracnose,High
Tomato,"Leaf curl, Stunted growth, Yellow leaves, Rusty orange pustules",Leaf Curl,Low
Mango,"Fruit discoloration, White powder on leaves",Powdery Mildew,Low
Tomato,"Black lesions, Water-soaked patches, Fruit discoloration",Late Blight,High
Wheat,"Rusty orange pustules, Yellow leaves",Leaf Rust,High
Rice,"Yellow leaves, Wilting stems",Bacterial Blight,Medium
Cotton,Wilting stems,Wilt,High
Mango,"Fruit discoloration, Black lesions, Premature fruit drop",Anthracnose,High
Maize,"Black lesions, Yellow leaves, Wilting stems",Leaf Blight,Critical
Soybean,Rusty orange pustules,Rust,Medium
Banana,"Root rot, Wilting stems, Yellow leaves",Panama Disease,Low
Tomato,"Fruit discoloration, Black lesions, Water-soaked patches",Late Blight,Low
Groundnut,"Premature fruit drop, Yellow leaves, Brown spots on leaves",Leaf Spot,Low
Soybean,"Wilting stems, Root rot",Root Rot,Low
Groundnut,Premature fruit drop,Rust,High
Groundnut,"Brown spots on leaves, Premature fruit drop, Yellow leaves",Leaf Spot,Low
Sugarcane,"Brown spots on leaves, Rusty orange pustules",Rust,Medium
Tomato,"Water-soaked patches, Black lesions, Fruit discoloration, Brown spots on leaves",Late Blight,Medium
Soybean,"Stunted growth, Wilting stems, Root rot",Root Rot,Critical
Soybean,"Premature fruit drop, Yellow leaves",Rust,Critical
Banana,"Yellow leaves, Wilting stems",Panama Disease,Low
Potato,"Black lesions, Water-soaked patches, Wilting stems",Late Blight,Critical
Soybean,Yellow leaves,Rust,Medium
Cotton,"Wilting stems, Yellow leaves",Wilt,Critical
Maize,"Black lesions, Wilting stems, Yellow leaves",Leaf Blight,Critical
Sugarcane,"Yellow leaves, Stunted growth, Wilting stems",Red Rot,High
Maize,"Rusty orange pustules, Brown spots on leaves",Common Rust,Low
Sugarcane,Yellow leaves,Red Rot,Medium
Banana,"Premature fruit drop, Black lesions, Rusty orange pustules",Black Sigatoka,Medium
Potato,"Black lesions, Stunted growth",Black Scurf,Medium
Potato,"Brown spots on leaves, Yellow leaves",Early Blight,Low
Sugarcane,"Wilting stems, Stunted growth, Yellow leaves, White powder on leaves",Red Rot,Medium
Cotton,Premature fruit drop,Bacterial Blight,Medium
Tomato,"Black lesions, Water-soaked patches, Fruit discoloration",Late Blight,Medium
Rice,"Yellow leaves, Water-soaked patches",Bacterial Blight,Low
Maize,"Wilting stems, Yellow leaves, White powder on leaves",Leaf Blight,Low
Sugarcane,Rusty orange pustules,Rust,High
Rice,"Stunted growth, Black lesions",Blast,Critical
Grapes,"White powder on leaves, Fruit discoloration, Stunted growth",Powdery Mildew,Low
Sugarcane,Rusty orange pustules,Rust,Critical
Potato,Brown spots on leaves,Early Blight,Medium
Sugarcane,"Brown spots on leaves, Rusty orange pustules",Rust,Critical
Grapes,"Premature fruit drop, White powder on leaves",Downy Mildew,Low
Cotton,"Yellow leaves, Stunted growth, Wilting stems, Black lesions",Wilt,Medium
Rice,"Stunted growth, Black lesions",Blast,Critical
Grapes,"White powder on leaves, Stunted growth",Powdery Mildew,Critical
Banana,Root rot,Panama Disease,Critical
Tomato,"Water-soaked patches, Black lesions",Late Blight,Medium
Wheat,"Stunted growth, Yellow leaves, Root rot",Root Rot,Critical
Groundnut,Brown spots on leaves,Leaf Spot,High
Maize,"Yellow leaves, Wilting stems, Black lesions, Premature fruit drop",Leaf Blight,Critical
Banana,"Premature fruit drop, Brown spots on leaves, Black lesions",Black Sigatoka,Low
Cotton,"Wilting stems, Stunted growth",Wilt,High
Cotton,"Yellow leaves, Stunted growth",Wilt,Low
Mango,"Fruit discoloration, White powder on leaves",Powdery Mildew,Low
Sugarcane,Yellow leaves,Red Rot,Critical
Sugarcane,"Wilting stems, Yellow leaves, Stunted growth",Red Rot,Low
Wheat,"Yellow leaves, Rusty orange pustules",Leaf Rust,Low
Grapes,"Yellow leaves, White powder on leaves",Downy Mildew,High
Maize,"Wilting stems, Yellow leaves",Leaf Blight,Medium
Cotton,"Water-soaked patches, Premature fruit drop, Black lesions",Bacterial Blight,Low
Wheat,"Yellow leaves, Rusty orange pustules, Premature fruit drop",Leaf Rust,Low
Wheat,"Yellow leaves, Rusty orange pustules",Leaf Rust,Medium
Tomato,Premature fruit drop,Early Blight,High
Groundnut,"Yellow leaves, Brown spots on leaves",Leaf Spot,Critical
